player_team,0,1,2,3,4,5,6
Michigan State Spartans - Cam Ward,,13.0,2.0,2.0,done,done,done
Michigan State Spartans - Carson Cooper,,20.0,9.0,14.0,done,done,done
Michigan State Spartans - Coen Carr,,17.0,21.0,13.0,done,done,done
Michigan State Spartans - Colin Walton,,0.0,,,done,done,done
Michigan State Spartans - Denham Wojcik,,4.0,0.0,0.0,done,done,done
Michigan State Spartans - Jaxon Kohler,,12.0,10.0,12.0,done,done,done
Michigan State Spartans - Jeremy Fears Jr.,,7.0,12.0,13.0,done,done,done
Michigan State Spartans - Jesse McCulloch,,3.0,,,done,done,done
Michigan State Spartans - Jordan Scott,,6.0,4.0,5.0,done,done,done
Michigan State Spartans - Kur Teng,,3.0,7.0,0.0,done,done,done
Michigan State Spartans - Nick Sanders,,0.0,,,done,done,done
Michigan State Spartans - Trey Fort,,7.0,12.0,4.0,done,done,done
Michigan Wolverines - Aday Mara,,19.0,16.0,8.0,11.0,,
Michigan Wolverines - Charlie May,,0.0,,,3.0,,
Michigan Wolverines - Elliot Cadeau,,5.0,12.0,17.0,8.0,,
Michigan Wolverines - Howard Eisley Jr.,,0.0,,,0.0,,
Michigan Wolverines - Malick Kordel,,2.0,0.0,,,,
Michigan Wolverines - Morez Johnson Jr.,,21.0,15.0,7.0,12.0,,
Michigan Wolverines - Nimari Burnett,,15.0,11.0,2.0,10.0,,
Michigan Wolverines - Oscar Goodman,,0.0,3.0,,2.0,,
Michigan Wolverines - Roddy Gayle Jr.,,14.0,3.0,16.0,8.0,,
Michigan Wolverines - Trey McKenney,,10.0,8.0,17.0,12.0,,
Michigan Wolverines - Will Tschetter,,6.0,2.0,0.0,2.0,,
Michigan Wolverines - Yaxel Lendeborg,,9.0,25.0,23.0,27.0,,
Missouri Tigers - Anthony Robinson II,,11.0,done,done,done,done,done
Missouri Tigers - Jacob Crews,,0.0,done,done,done,done,done
Missouri Tigers - Jayden Stone,,21.0,done,done,done,done,done
Missouri Tigers - Mark Mitchell,,19.0,done,done,done,done,done
Missouri Tigers - Shawn Phillips Jr.,,6.0,done,done,done,done,done
Missouri Tigers - T.O. Barrett,,0.0,done,done,done,done,done
Missouri Tigers - Trent Burns,,2.0,done,done,done,done,done
Missouri Tigers - Trent Pierce,,7.0,done,done,done,done,done
NC State Wolfpack - Darrion Williams,21.0,done,done,done,done,done,done
NC State Wolfpack - Matt Able,4.0,done,done,done,done,done,done
NC State Wolfpack - Musa Sagnia,0.0,done,done,done,done,done,done
NC State Wolfpack - Paul McNeil Jr.,11.0,done,done,done,done,done,done
NC State Wolfpack - Quadir Copeland,16.0,done,done,done,done,done,done
NC State Wolfpack - Scottie Ebube,0.0,done,done,done,done,done,done
NC State Wolfpack - Terrance Arceneaux,0.0,done,done,done,done,done,done
NC State Wolfpack - Tre Holloman,8.0,done,done,done,done,done,done
NC State Wolfpack - Ven-Allen Lubin,6.0,done,done,done,done,done,done
Nebraska Cornhuskers - Berke Buyuktuncel,,9.0,12.0,2.0,done,done,done
Nebraska Cornhuskers - Braden Frager,,13.0,15.0,16.0,done,done,done
Nebraska Cornhuskers - Cale Jacobsen,,3.0,0.0,4.0,done,done,done
Nebraska Cornhuskers - Jamarques Lawrence,,13.0,9.0,9.0,done,done,done
Nebraska Cornhuskers - Jared Garcia,,0.0,,,done,done,done
Nebraska Cornhuskers - Justin Bolis,,0.0,,,done,done,done
Nebraska Cornhuskers - Kendall Blue,,0.0,,,done,done,done
Nebraska Cornhuskers - Leo Curtis,,0.0,2.0,,done,done,done
Nebraska Cornhuskers - Pryce Sandfort,,23.0,15.0,25.0,done,done,done
Nebraska Cornhuskers - Rienk Mast,,11.0,13.0,9.0,done,done,done
Nebraska Cornhuskers - Sam Hoiberg,,4.0,8.0,6.0,done,done,done
North Carolina Tar Heels - Derek Dixon,,11.0,done,done,done,done,done
North Carolina Tar Heels - Henri Veesaar,,26.0,done,done,done,done,done
North Carolina Tar Heels - Jarin Stevenson,,11.0,done,done,done,done,done
North Carolina Tar Heels - Jaydon Young,,0.0,done,done,done,done,done
North Carolina Tar Heels - Jonathan Powell,,3.0,done,done,done,done,done
North Carolina Tar Heels - Kyan Evans,,0.0,done,done,done,done,done
North Carolina Tar Heels - Luka Bogavac,,8.0,done,done,done,done,done
North Carolina Tar Heels - Seth Trimble,,15.0,done,done,done,done,done
North Carolina Tar Heels - Zayden High,,4.0,done,done,done,done,done
North Dakota State Bison - Andy Stefonowicz,,6.0,done,done,done,done,done
North Dakota State Bison - Caleb Schoenrock,,0.0,done,done,done,done,done
North Dakota State Bison - Carson Smith,,0.0,done,done,done,done,done
North Dakota State Bison - Damari Wheeler-Thomas,,16.0,done,done,done,done,done
North Dakota State Bison - Emil Skytta,,5.0,done,done,done,done,done
North Dakota State Bison - Markhi Strickland,,6.0,done,done,done,done,done
North Dakota State Bison - Max Majerle,,0.0,done,done,done,done,done
North Dakota State Bison - Noah Feddersen,,7.0,done,done,done,done,done
North Dakota State Bison - Riley Massey,,0.0,done,done,done,done,done
North Dakota State Bison - Riley Saunders,,0.0,done,done,done,done,done
North Dakota State Bison - Tay Smith,,6.0,done,done,done,done,done
North Dakota State Bison - Trevian Carson,,11.0,done,done,done,done,done
North Dakota State Bison - Treyson Anderson,,10.0,done,done,done,done,done
Northern Iowa Panthers - Ben Schwieger,,2.0,done,done,done,done,done
Northern Iowa Panthers - Geon Hutchins,,0.0,done,done,done,done,done
Northern Iowa Panthers - Ismael Diouf,,0.0,done,done,done,done,done
Northern Iowa Panthers - Leon Bond III,,12.0,done,done,done,done,done
Northern Iowa Panthers - Max Weisbrod,,6.0,done,done,done,done,done
Northern Iowa Panthers - RJ Taylor,,0.0,done,done,done,done,done
