team_player,team_name,player,seed,weighted_ppg,actual_pts,live_exp_remaining,live_proj
Virginia Cavaliers - Sam Lewis,Virginia Cavaliers,Sam Lewis,3,11.37,17.0,0.0,17.0
UConn Huskies - Silas Demary Jr.,UConn Huskies,Silas Demary Jr.,2,10.89,4.0,1.187,16.9
Michigan Wolverines - Will Tschetter,Michigan Wolverines,Will Tschetter,1,3.62,8.0,2.443,16.8
Texas A&M Aggies - Rubén Dominguez,Texas A&M Aggies,Rubén Dominguez,10,10.87,16.0,0.0,16.0
North Dakota State Bison - Damari Wheeler-Thomas,North Dakota State Bison,Damari Wheeler-Thomas,14,16.01,16.0,0.0,16.0
Vanderbilt Commodores - AK Okereke,Vanderbilt Commodores,AK Okereke,5,8.99,16.0,0.0,16.0
McNeese Cowboys - Garwey Dual,McNeese Cowboys,Garwey Dual,12,7.59,16.0,0.0,16.0
Saint Louis Billikens - Quentin Jones,Saint Louis Billikens,Quentin Jones,9,8.13,16.0,0.0,16.0
Arkansas Razorbacks - D.J. Wagner,Arkansas Razorbacks,D.J. Wagner,4,8.24,16.0,0.0,16.0
Florida Gators - Urban Klavzar,Florida Gators,Urban Klavzar,1,9.02,16.0,0.0,16.0
TCU Horned Frogs - Brock Harding,TCU Horned Frogs,Brock Harding,9,7.81,16.0,0.0,16.0
Gonzaga Bulldogs - Tyon Grant-Foster,Gonzaga Bulldogs,Tyon Grant-Foster,3,11.4,16.0,0.0,16.0
Gonzaga Bulldogs - Mario Saint-Supery,Gonzaga Bulldogs,Mario Saint-Supery,3,8.67,16.0,0.0,16.0
Kansas Jayhawks - Tre White,Kansas Jayhawks,Tre White,4,13.28,16.0,0.0,16.0
Gonzaga Bulldogs - Emmanuel Innocenti,Gonzaga Bulldogs,Emmanuel Innocenti,3,6.49,16.0,0.0,16.0
St. John's Red Storm - Dylan Darling,St. John's Red Storm,Dylan Darling,5,6.93,16.0,0.0,16.0
Prairie View A&M Panthers - Tai'Reon Joseph,Prairie View A&M Panthers,Tai'Reon Joseph,16,15.32,16.0,0.0,16.0
Santa Clara Broncos - Sash Gavalyugov,Santa Clara Broncos,Sash Gavalyugov,10,9.39,16.0,0.0,16.0
VCU Rams - Nyk Lewis,VCU Rams,Nyk Lewis,11,8.99,16.0,0.0,16.0
Tennessee Volunteers - Amari Evans,Tennessee Volunteers,Amari Evans,6,4.07,11.0,1.189,15.8
Saint Louis Billikens - Kellen Thames,Saint Louis Billikens,Kellen Thames,9,9.33,15.0,0.0,15.0
Hawai'i Rainbow Warriors - Isaac Johnson,Hawai'i Rainbow Warriors,Isaac Johnson,13,14.95,15.0,0.0,15.0
North Carolina Tar Heels - Seth Trimble,North Carolina Tar Heels,Seth Trimble,6,13.81,15.0,0.0,15.0
Ohio State Buckeyes - John Mobley Jr.,Ohio State Buckeyes,John Mobley Jr.,8,16.14,15.0,0.0,15.0
Purdue Boilermakers - Omer Mayer,Purdue Boilermakers,Omer Mayer,2,5.33,15.0,0.0,15.0
Long Island University Sharks - Mason Porter-Brown,Long Island University Sharks,Mason Porter-Brown,16,8.05,15.0,0.0,15.0
Clemson Tigers - RJ Godfrey,Clemson Tigers,RJ Godfrey,8,12.15,15.0,0.0,15.0
McNeese Cowboys - Larry Johnson,McNeese Cowboys,Larry Johnson,12,18.38,15.0,0.0,15.0
Villanova Wildcats - Duke Brennan,Villanova Wildcats,Duke Brennan,8,12.58,15.0,0.0,15.0
Kennesaw State Owls - Amir Taylor,Kennesaw State Owls,Amir Taylor,14,8.74,15.0,0.0,15.0
Vanderbilt Commodores - Devin McGlockton,Vanderbilt Commodores,Devin McGlockton,5,9.29,15.0,0.0,15.0
Michigan State Spartans - Jordan Scott,Michigan State Spartans,Jordan Scott,3,5.94,15.0,0.0,15.0
Purdue Boilermakers - Gicarri Harris,Purdue Boilermakers,Gicarri Harris,2,3.87,15.0,0.0,15.0
California Baptist Lancers - Martel Williams,California Baptist Lancers,Martel Williams,13,12.94,15.0,0.0,15.0
Virginia Cavaliers - Dallin Hall,Virginia Cavaliers,Dallin Hall,3,5.67,15.0,0.0,15.0
Saint Mary's Gaels - Liam Campbell,Saint Mary's Gaels,Liam Campbell,7,4.13,15.0,0.0,15.0
Texas A&M Aggies - Ali Dibba,Texas A&M Aggies,Ali Dibba,10,5.23,15.0,0.0,15.0
Villanova Wildcats - Tyler Perkins,Villanova Wildcats,Tyler Perkins,8,13.68,15.0,0.0,15.0
Kennesaw State Owls - RJ Johnson,Kennesaw State Owls,RJ Johnson,14,13.72,15.0,0.0,15.0
Wright State Raiders - TJ Burch,Wright State Raiders,TJ Burch,14,12.49,15.0,0.0,15.0
Tennessee Volunteers - DeWayne Brown II,Tennessee Volunteers,DeWayne Brown II,6,4.75,9.0,1.189,14.6
Kennesaw State Owls - Kaden Rickard,Kennesaw State Owls,Kaden Rickard,14,5.85,14.0,0.0,14.0
Pennsylvania Quakers - Cam Thrower,Pennsylvania Quakers,Cam Thrower,14,5.77,14.0,0.0,14.0
Santa Clara Broncos - Jake Ensminger,Santa Clara Broncos,Jake Ensminger,10,5.97,14.0,0.0,14.0
Troy Trojans - Victor Valdes,Troy Trojans,Victor Valdes,13,14.94,14.0,0.0,14.0
Florida Gators - Rueben Chinyelu,Florida Gators,Rueben Chinyelu,1,10.81,14.0,0.0,14.0
Louisville Cardinals - Vangelis Zougris,Louisville Cardinals,Vangelis Zougris,6,2.49,14.0,0.0,14.0
BYU Cougars - Robert Wright III,BYU Cougars,Robert Wright III,6,18.69,14.0,0.0,14.0
Idaho Vandals - Kolton Mitchell,Idaho Vandals,Kolton Mitchell,15,13.91,14.0,0.0,14.0
Northern Iowa Panthers - Trey Campbell,Northern Iowa Panthers,Trey Campbell,12,13.69,14.0,0.0,14.0
Saint Louis Billikens - Paul Otieno,Saint Louis Billikens,Paul Otieno,9,4.24,14.0,0.0,14.0
Hofstra Pride - Cruz Davis,Hofstra Pride,Cruz Davis,13,19.96,14.0,0.0,14.0
Ohio State Buckeyes - Devin Royal,Ohio State Buckeyes,Devin Royal,8,13.43,14.0,0.0,14.0
