rnd,game_id,team_id,team_name,home_away_indictor,opp_id,opp_name,player,MIN,PTS,FGM,FGA,TREY_M,TREY_A,FTM,FTA,REB,AST,TO,STL,BLK,OREB,DREB,PF
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Garwey Dual,34,16,7,13,2,4,0,0,3,6,1,1,1,1,2,4
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Javohn Garcia,37,10,4,11,2,5,0,0,4,2,1,0,1,0,4,2
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Peitok Machar,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Jacolb Fredson-Cole,12,5,2,3,1,1,0,0,5,0,1,2,0,4,1,2
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Yanis Ndjonga,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,DJ Richards Jr.,19,9,2,5,2,4,3,3,4,0,0,2,0,2,2,2
1,401856488,2377,McNeese Cowboys,0,-1,UNKNOWN,Carl Cherenfant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,401856488,238,Vanderbilt Commodores,1,2377,McNeese Cowboys,AK Okereke,33,7,2,5,2,3,1,2,9,4,2,0,1,4,5,3
1,401856488,238,Vanderbilt Commodores,1,2377,McNeese Cowboys,Tyler Nickel,33,12,3,9,3,8,3,4,3,2,1,0,0,1,2,0
1,401856488,238,Vanderbilt Commodores,1,2377,McNeese Cowboys,Devin McGlockton,32,12,6,6,0,0,0,0,8,0,1,0,1,1,7,2
1,401856488,238,Vanderbilt Commodores,1,2377,McNeese Cowboys,Tyler Tanner,37,26,7,16,3,8,9,10,7,5,3,1,0,0,7,1
1,401856488,238,Vanderbilt Commodores,1,2377,McNeese Cowboys,Duke Miles,29,13,4,9,1,5,4,4,1,3,2,2,0,1,0,2
1,401856488,238,Vanderbilt Commodores,1,2377,McNeese Cowboys,Jalen Washington,15,4,2,3,0,0,0,0,3,1,1,0,0,0,3,2
1,401856488,238,Vanderbilt Commodores,1,2377,McNeese Cowboys,Chandler Bing,22,4,2,3,0,0,0,0,3,0,3,0,1,0,3,1
1,401856481,62,Hawai'i Rainbow Warriors,0,-1,UNKNOWN,Harry Rouhliadeff,33,9,4,7,1,2,0,0,7,1,1,0,0,2,5,1
1,401856481,62,Hawai'i Rainbow Warriors,0,-1,UNKNOWN,Isaac Finlinson,31,12,4,7,2,3,2,2,2,2,1,0,0,0,2,2
